"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM"
"Acerv_evm.TU.Segkk315_pilon.1",17.3851356597941,-2.47351481099407,0.57184302350457,-4.32551366253453,1.52176835859478e-05,0.00914887137187184,"CvsT2",35,0,5,7,25,50,15,23,19,23,23,16,18,39,7
"Acerv_evm.TU.Segkk2165_pilon.111",31.722366003557,1.89504280003697,0.481076126593063,3.93917447838763,8.17624549762851e-05,0.0258336627516267,"CvsT2",37,0,266,215,31,74,13,12,82,83,11,15,12,37,5
"Acerv_evm.TU.Segkk1630_pilon.61",70.1900674293588,-4.19079493842059,1.05815313740697,-3.96048056776566,7.47990800096219e-05,0.0256645981709117,"CvsT2",112,0,10,15,99,178,97,80,8,5,56,134,48,179,62
"Acerv_evm.TU.Segkk1945_pilon.21",12.7834365471073,-2.46363560174548,0.626622441813456,-3.93161086700898,8.43785676054112e-05,0.0258336627516267,"CvsT2",34,0,8,12,16,18,17,18,0,11,12,19,7,24,12
"Acerv_evm.TU.Segkk1793_pilon.11",21.3572085837625,-3.29626219049415,0.605408250019738,-5.44469321385475,5.18947473976264e-08,0.000155995610677265,"CvsT2",36,0,6,9,24,38,25,41,6,13,33,37,14,37,13
"Acerv_evm.TU.Segkk1677_pilon.11",70.0638705244626,-1.98738173052372,0.415714703498852,-4.78063853358317,1.74739297817597e-06,0.00196974873464886,"CvsT2",85,7,48,38,70,158,69,99,55,74,70,86,45,112,37
"Acerv_evm.TU.Segkk3405_pilon.71",62.1972734777367,-1.93922400050767,0.508515115342914,-3.8135031624379,0.000137010771556862,0.0374413072090844,"CvsT2",112,0,40,42,81,158,65,91,56,57,62,103,35,128,39
"Acerv_evm.TU.Segkk3394_pilon.161",187.475455948091,-5.35065171564566,1.02702578892151,-5.20985137214953,1.889919673589e-07,0.000426082390410641,"CvsT2",311,12,28,12,288,513,246,188,6,6,152,155,186,521,123
"Acerv_evm.TU.Segkk3858_pilon.8",124.92515338524,-1.41188915012259,0.378813675882542,-3.72713352239261,0.000193669870655724,0.0499004255306663,"CvsT2",156,10,92,120,161,94,175,185,216,222,123,86,99,156,81
"Acerv_evm.TU.Segkk398_pilon.2",13.4627404440039,-2.06841340125711,0.512687438432343,-4.03445305307606,5.47296307191231e-05,0.0205646587427105,"CvsT2",26,0,14,7,19,38,16,17,12,19,9,11,15,29,9
"Acerv_evm.TU.Segkk2935_pilon.2",20.7742062350845,-2.64390394017804,0.570634620628064,-4.63326942425619,3.59935609289691e-06,0.00295081756779494,"CvsT2",22,1,12,12,22,57,21,58,13,19,26,15,11,27,13
