"","gene_id","Orthogroup","Species"
"144","Acerv_evm.TU.Segkk3903_pilon.2","OG0006755","A.cervicornis"
"145","Acerv_evm.TU.Segkk3937_pilon.25","OG0009461","A.cervicornis"
"146","Acerv_evm.TU.Segkk3940_pilon.21","OG0000850","A.cervicornis"
"147","Acerv_evm.TU.Segkk3996_pilon.1","OG0000000","A.cervicornis"
"148","Acerv_evm.TU.Segkk4025_pilon.2","OG0013433","A.cervicornis"
"149","Acerv_evm.TU.Segkk4047_pilon.16","OG0000127","A.cervicornis"
"150","Acerv_evm.TU.Segkk4113_pilon.15","OG0001808","A.cervicornis"
"151","Acerv_evm.TU.Segkk4124_pilon.10","OG0001073","A.cervicornis"
"152","Acerv_evm.TU.Segkk4124_pilon.11","OG0001073","A.cervicornis"
"153","Acerv_evm.TU.Segkk4124_pilon.2","OG0000272","A.cervicornis"
"154","Acerv_evm.TU.Segkk4124_pilon.3","OG0000272","A.cervicornis"
"155","Acerv_evm.TU.Segkk4263_pilon.5","OG0000865","A.cervicornis"
"156","Acerv_evm.TU.Segkk4265_pilon.3","OG0008220","A.cervicornis"
"157","Acerv_evm.TU.Segkk4302_pilon.1","OG0020288","A.cervicornis"
"158","Acerv_evm.TU.Segkk4302_pilon.20","OG0009679","A.cervicornis"
"159","Acerv_evm.TU.Segkk4318_pilon.2","OG0011306","A.cervicornis"
"160","Acerv_evm.TU.Segkk4345_pilon.12","OG0001038","A.cervicornis"
"161","Acerv_evm.TU.Segkk437_pilon.4","OG0000388","A.cervicornis"
"162","Acerv_evm.TU.Segkk451_pilon.2","OG0007378","A.cervicornis"
"163","Acerv_evm.TU.Segkk539_pilon.1","OG0002149","A.cervicornis"
"164","Acerv_evm.TU.Segkk551_pilon.2","OG0000001","A.cervicornis"
"165","Acerv_evm.TU.Segkk575_pilon.2","OG0003466","A.cervicornis"
"166","Acerv_evm.TU.Segkk580_pilon.3","OG0010480","A.cervicornis"
"167","Acerv_evm.TU.Segkk642_pilon.43","OG0004326","A.cervicornis"
"168","Acerv_evm.TU.Segkk657_pilon.10","OG0007498","A.cervicornis"
"169","Acerv_evm.TU.Segkk669_pilon.5","OG0005597","A.cervicornis"
"170","Acerv_evm.TU.Segkk671_pilon.1","OG0005604","A.cervicornis"
"171","Acerv_evm.TU.Segkk68_pilon.68","OG0007132","A.cervicornis"
"172","Acerv_evm.TU.Segkk826_pilon.10","OG0000136","A.cervicornis"
"173","Acerv_evm.TU.Segkk893_pilon.2","OG0002171","A.cervicornis"
"174","Acerv_evm.TU.Segkk905_pilon.19","OG0007569","A.cervicornis"
"175","Acerv_evm.TU.Segkk925_pilon.1","OG0002527","A.cervicornis"
"176","Acerv_evm.TU.Segkk966_pilon.1","OG0001504","A.cervicornis"
"177","Acerv_evm.TU.Segkk978_pilon.3","OG0014559","A.cervicornis"
"178","Acerv_evm.TU.Segkk984_pilon.10","OG0000030","A.cervicornis"
"179","Acerv_evm.TU.Segkk999_pilon.5","OG0005579","A.cervicornis"
"180","Mcavernosa00001","OG0001072","M.cavernosa"
"181","Mcavernosa00103","OG0003177","M.cavernosa"
"182","Mcavernosa01252","OG0000741","M.cavernosa"
"183","Mcavernosa01732","OG0005778","M.cavernosa"
"184","Mcavernosa02339","OG0003987","M.cavernosa"
"185","Mcavernosa02620","OG0000164","M.cavernosa"
"186","Mcavernosa02621","OG0000164","M.cavernosa"
"187","Mcavernosa02761","OG0005584","M.cavernosa"
"188","Mcavernosa02968","OG0016074","M.cavernosa"
"189","Mcavernosa03157","OG0000867","M.cavernosa"
"190","Mcavernosa03628","OG0001771","M.cavernosa"
"191","Mcavernosa04010","OG0013205","M.cavernosa"
"192","Mcavernosa05091","OG0010186","M.cavernosa"
"193","Mcavernosa05196","OG0000854","M.cavernosa"
"194","Mcavernosa07006","OG0005196","M.cavernosa"
"195","Mcavernosa07053","OG0014122","M.cavernosa"
"196","Mcavernosa09510","OG0000121","M.cavernosa"
"197","Mcavernosa10311","OG0005656","M.cavernosa"
"198","Mcavernosa10782","OG0018077","M.cavernosa"
"199","Mcavernosa11724","OG0016542","M.cavernosa"
"200","Mcavernosa11839","OG0010282","M.cavernosa"
"201","Mcavernosa12043","OG0018851","M.cavernosa"
"202","Mcavernosa12089","OG0002494","M.cavernosa"
"203","Mcavernosa13005","OG0002677","M.cavernosa"
"204","Mcavernosa13241","OG0000948","M.cavernosa"
"205","Mcavernosa13780","OG0013947","M.cavernosa"
"206","Mcavernosa13828","OG0014114","M.cavernosa"
"207","Mcavernosa13956","OG0018840","M.cavernosa"
"208","Mcavernosa14558","OG0001393","M.cavernosa"
"209","Mcavernosa15302","OG0002799","M.cavernosa"
"210","Mcavernosa15503","OG0006986","M.cavernosa"
"211","Mcavernosa16456","OG0003557","M.cavernosa"
"212","Mcavernosa18273","OG0010016","M.cavernosa"
"213","Mcavernosa18489","OG0003181","M.cavernosa"
"214","Mcavernosa18547","OG0013132","M.cavernosa"
"215","Mcavernosa18652","OG0004374","M.cavernosa"
"216","Mcavernosa20093","OG0012435","M.cavernosa"
"217","Mcavernosa21617","OG0006114","M.cavernosa"
"218","Mcavernosa22344","OG0000414","M.cavernosa"
"219","Mcavernosa22347","OG0000414","M.cavernosa"
"220","Mcavernosa24249","OG0016068","M.cavernosa"
"221","Mcavernosa24806","OG0008851","M.cavernosa"
"222","Mcavernosa25973","OG0000516","M.cavernosa"
"223","Mcavernosa29012","OG0012502","M.cavernosa"
"224","Mcavernosa30410","OG0000414","M.cavernosa"
"225","Mcavernosa30570","OG0016089","M.cavernosa"
"226","Mcavernosa30571","OG0017430","M.cavernosa"
"227","Mcavernosa30572","OG0009946","M.cavernosa"
"228","Mcavernosa30573","OG0017429","M.cavernosa"
"229","Mcavernosa30574","OG0016089","M.cavernosa"
"230","Mcavernosa30575","OG0017430","M.cavernosa"
"231","Mcavernosa30729","OG0018812","M.cavernosa"
"232","Mcavernosa33020","OG0000370","M.cavernosa"
"233","LOC110045321","OG0000000","O.faveolata"
"234","LOC110058904","OG0000888","O.faveolata"
"235","Montipora_capitata_PredGene_adi2mcaRNA10298_R0","OG0007679","M.capitata"
