Orthogroup	plut2v1.1.proteins	Mcavernosa.maker.proteins
OG0000058	plut2.m8.7902.m1, plut2.m8.32933.m1, plut2.m8.7907.m1, plut2.m8.31193.m1, plut2.m8.7900.m1, plut2.m8.7897.m1, plut2.m8.7893.m1, plut2.m8.7898.m1, plut2.m8.7899.m1, plut2.m8.7894.m1, plut2.m8.7901.m1, plut2.m8.32934.m1, plut2.m8.2733.m1, plut2.m8.22652.m1, plut2.m8.33307.m1, plut2.m8.25263.m1, plut2.m8.23246.m1, plut2.m8.33419.m1, plut2.m8.25862.m1, plut2.m8.30756.m1, plut2.m8.23237.m1, plut2.m8.23241.m1, plut2.m8.25919.m1, plut2.m8.23240.m1, plut2.m8.23243.m1, plut2.m8.689.m1, plut2.m8.27487.m1, plut2.m8.27497.m1, plut2.m8.27492.m1, plut2.m8.31421.m1	Mcavernosa11660-RA
OG0000059	plut2.m8.32009.m1	Mcavernosa27878-RA, Mcavernosa27866-RA, Mcavernosa15770-RA, Mcavernosa27867-RA, Mcavernosa27868-RA
OG0000060	plut2.m8.12079.m1	Mcavernosa01859-RA, Mcavernosa10980-RA
OG0000060	plut2.m8.17356.m1, plut2.m8.22030.m1, plut2.m8.17353.m1, plut2.m8.9331.m1, plut2.m8.9328.m1	Mcavernosa16515-RA, Mcavernosa34230-RA, Mcavernosa29410-RA, Mcavernosa25858-RA
OG0000061	plut2.m8.28441.m1, plut2.m8.28442.m1, plut2.m8.16926.m1, plut2.m8.27369.m1	Mcavernosa27448-RA
OG0000061	plut2.m8.16930.m1, plut2.m8.28437.m1	Mcavernosa18962-RA
OG0000063	plut2.m8.8666.m1	Mcavernosa14374-RA
OG0000064	plut2.m8.11706.m1, plut2.m8.32699.m1	Mcavernosa20927-RA, Mcavernosa20926-RA, Mcavernosa21729-RA
OG0000065	plut2.m8.4222.m1, plut2.m8.4223.m1, plut2.m8.4221.m1	Mcavernosa31972-RA
OG0000065	plut2.m8.15705.m1	Mcavernosa07140-RA
OG0000065	plut2.m8.14950.m1, plut2.m8.14948.m1, plut2.m8.2040.m1, plut2.m8.14949.m1	Mcavernosa25562-RA
OG0000067	plut2.m8.5002.m1, plut2.m8.5005.m1, plut2.m8.5004.m1, plut2.m8.25907.m1, plut2.m8.25905.m1, plut2.m8.6280.m1	Mcavernosa07904-RA
OG0000069	jamg1.model.Sc0000707.3	Mcavernosa17556-RA, Mcavernosa09501-RA, Mcavernosa17557-RA
OG0000069	plut2.m8.25902.m1, plut2.m8.20420.m1, plut2.m8.9582.m1	Mcavernosa30138-RA, Mcavernosa05649-RA
OG0000069	plut2.m8.14233.m1	Mcavernosa27632-RA
OG0000070	plut2.m8.2174.m1	Mcavernosa08157-RA
OG0000071	jamg1.model.Sc0000551.11, jamg1.model.Sc0000551.7, jamg1.model.Sc0000014.24, jamg1.model.Sc0000551.9	Mcavernosa12461-RA
OG0000071	jamg1.model.Sc0000551.10, jamg1.model.Sc0000551.6, jamg1.model.Sc0000625.16	Mcavernosa12462-RA, Mcavernosa12464-RA
OG0000071	jamg1.model.Sc0000014.25	Mcavernosa12458-RA, Mcavernosa12456-RA, Mcavernosa12459-RA
OG0000072	plut2.m8.5828.m1, plut2.m8.5835.m1	Mcavernosa28578-RA
OG0000074	plut2.m8.11523.m1	Mcavernosa30542-RA, Mcavernosa29093-RA
OG0000074	jamg1.model.Sc0000365.34, plut2.m8.23358.m1	Mcavernosa16295-RA, Mcavernosa30541-RA, Mcavernosa32096-RA, Mcavernosa29092-RA, Mcavernosa19091-RA, Mcavernosa18234-RA
OG0000075	plut2.m8.7903.m1, plut2.m8.24642.m1, plut2.m8.24643.m1, plut2.m8.7885.m1, plut2.m8.25435.m1, plut2.m8.14375.m1, plut2.m8.14380.m1, plut2.m8.30619.m1, plut2.m8.14376.m1	Mcavernosa31903-RA
OG0000076	plut2.m8.9552.m1, plut2.m8.9553.m1	Mcavernosa11352-RA
