,gene_id,length
16078,LOC110047798,18922
16085,LOC110047809,25173
16093,LOC110047979,36090
16114,LOC110047979,36089
16136,LOC110048089,8691
16146,LOC110048089,8691
16157,LOC110048118,1334
16176,LOC110047819,2594
16182,LOC110047829,1637
16186,LOC110048016,27026
16219,LOC110048016,27025
16255,LOC110047766,7694
16263,LOC110048128,2355
16269,LOC110047851,38587
16297,LOC110048139,31066
16313,LOC110048074,3399
16317,LOC110047870,20506
16336,LOC110047870,8379
16353,LOC110047870,6889
16370,LOC110047861,30795
16394,LOC110047909,5310
16425,LOC110047892,13177
16445,LOC110047919,16452
16477,LOC110048150,4445
16489,LOC110048031,4907
16494,LOC110048031,4784
16498,LOC110048031,4784
16503,LOC110048031,4784
16508,LOC110048031,4784
16514,LOC110048063,2831
16518,LOC110048083,14091
16526,LOC110048105,9920
16543,LOC110048105,9515
16561,LOC110047756,2019
16565,LOC110048159,2811
16575,LOC110048200,2671
16579,LOC110047746,2071
16583,LOC110048210,2273
16587,LOC110048181,12120
16604,LOC110048190,6050
16615,LOC110047778,7235
16635,LOC110047927,36129
16691,LOC110047927,36129
16747,LOC110047927,36129
16802,LOC110047927,36129
16858,LOC110047969,18063
16872,LOC110047958,2782
16878,LOC110047995,3759
16882,LOC110048005,15547
16890,LOC110048171,2098
16913,LOC110048242,659
16917,LOC110048253,3028
16923,LOC110048233,6477
16928,LOC110048265,1108
16934,LOC110048315,128310
16975,LOC110048315,128310
17016,LOC110048315,92090
17051,LOC110048315,119064
17093,LOC110048283,1221
17104,LOC110048305,2060
17112,LOC110048223,2641
17122,LOC110048370,2711
17135,LOC110048412,2146
17145,LOC110048430,2341
17157,LOC110048422,1985
17161,LOC110048381,3054
17175,LOC110048392,3080
17189,LOC110048403,3489
17206,LOC110048470,13143
17224,LOC110048562,14533
17231,LOC110048479,4329
17237,LOC110048488,7123
17266,LOC110048766,6641
17273,LOC110048694,9977
17279,LOC110048603,8894
17288,LOC110048603,8891
17298,LOC110048617,6090
17312,LOC110048635,3480
17322,LOC110048624,3714
17332,LOC110048705,23341
17372,LOC110048749,2238
17378,LOC110048503,11444
17408,LOC110048656,13686
17428,LOC110048646,9229
17442,LOC110048665,3616
17451,LOC110048665,3616
17461,LOC110048519,38007
